instanceid,closed,opening,dayofweek,victim_gender,totalnumbervictims,totalsuspects
4C92B486-8194-44BF-A6FC-FAC94E0E3AB1,I--INVESTIGATION PENDING,NA,WEDNESDAY,FEMALE,1,1
E3102861-EA7B-42EF-AC8C-E3F3A9E9A790,D--VICTIM REFUSED TO COOPERATE,NA,TUESDAY,FEMALE,1,1
46CBF5E7-7CAE-4E23-BB2C-9E679A975FE3,NA,NA,WEDNESDAY,FEMALE,1,1
7569A241-DED5-412B-9997-FB575ABA0EF8,Z--EARLY CLOSED,NA,FRIDAY,FEMALE,1,NA
B22E0971-A45A-450E-B4D6-E9129E3960D7,K--UNFOUNDED,NA,TUESDAY,MALE,1,NA
4143DE1D-0EA0-490D-81A2-FA716191D4D4,D--VICTIM REFUSED TO COOPERATE,NA,SATURDAY,FEMALE,1,1
6BB4E3AE-0A85-4B96-9FBE-F259D17B38F1,Z--EARLY CLOSED,NA,MONDAY,FEMALE,1,NA
333FADD9-0997-48D5-B030-FCCDE3579744,F--CLEARED BY ARREST - ADULT,NA,TUESDAY,MALE,1,1
97293741-6BDF-41BC-9BC8-E4AEBE890624,F--CLEARED BY ARREST - ADULT,NA,THURSDAY,NA,3,1
97293741-6BDF-41BC-9BC8-E4AEBE890624,F--CLEARED BY ARREST - ADULT,NA,THURSDAY,FEMALE,3,1
97293741-6BDF-41BC-9BC8-E4AEBE890624,F--CLEARED BY ARREST - ADULT,NA,THURSDAY,FEMALE,3,1
BF4C409A-EEF1-4B3E-B67E-E7D0B6739B43,I--INVESTIGATION PENDING,NA,SATURDAY,FEMALE,1,1
0590D3BE-35F1-411D-BD07-E34F88F7C05D,F--CLEARED BY ARREST - ADULT,NA,SUNDAY,FEMALE,1,NA
BE4A2C6B-E06D-4003-B940-E60022B6A2A2,F--CLEARED BY ARREST - ADULT,NA,WEDNESDAY,FEMALE,1,NA
F0EE1ECA-07F5-4D54-84FE-F440D005464A,F--CLEARED BY ARREST - ADULT,NA,MONDAY,NA,1,NA
32A54ECD-90B5-4265-BE19-E76F4B3FFC3F,Z--EARLY CLOSED,NA,WEDNESDAY,FEMALE,1,3
32A54ECD-90B5-4265-BE19-E76F4B3FFC3F,Z--EARLY CLOSED,NA,WEDNESDAY,FEMALE,1,3
32A54ECD-90B5-4265-BE19-E76F4B3FFC3F,Z--EARLY CLOSED,NA,WEDNESDAY,FEMALE,1,3
